date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:13:21	14874/14874	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:13:20%20GMT	https://trafficize.app/app/mohamed_nidsaid	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/mohamed_nidsaid.html	(from )
07:13:21	115/115	---MC-	200	added ('OK')	text/plain	date:Thu,%2005%20Nov%202020%2015:13:21%20GMT	https://trafficize.app/robots.txt		(from )
07:13:21	6197/6197	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2013:42:51%20GMT	https://trafficize.app/app/uploads/favicon/81d07e1124251806371fff7c7c13855d.png	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/uploads/favicon/81d07e1124251806371fff7c7c13855d.png	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:22	216503/216503	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2020:45:28%20GMT	https://trafficize.app/app/themes/altum/assets/css/bootstrap.min.css?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/css/bootstrap.mina510.css	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:22	14137/14137	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Sep%202020%2009:38:38%20GMT	https://trafficize.app/app/themes/altum/assets/css/custom.css?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/css/customa510.css	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:22	1930/1930	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Sep%202020%2016:47:24%20GMT	https://trafficize.app/app/themes/altum/assets/css/link-custom.css?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/css/link-customa510.css	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:22	58130/58130	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Sep%202020%2016:47:24%20GMT	https://trafficize.app/app/themes/altum/assets/css/animate.min.css?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/css/animate.mina510.css	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:22	108001/108001	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Nov%202020%2010:50:37%20GMT	https://trafficize.app/app/uploads/backgrounds/5d54768722a4e3bd44fa3704a6d5e6fb.jpg	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/uploads/backgrounds/5d54768722a4e3bd44fa3704a6d5e6fb.jpg	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:23	226405/226405	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Nov%202020%2010:25:53%20GMT	https://trafficize.app/app/uploads/avatars/2bb93caf8463d0aa20abfffcc040b9ea.png	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/uploads/avatars/2bb93caf8463d0aa20abfffcc040b9ea.png	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:23	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2005%20Nov%202020%2015:13:23%20GMT	https://trafficize.app/app/	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/index.html	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:23	89476/89476	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Sep%202020%2020:30:34%20GMT	https://trafficize.app/app/themes/altum/assets/js/libraries/jquery.min.js?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/js/libraries/jquery.mina510.js	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:23	18994/18994	---M--	200	added ('OK')	application/javascript	date:Sun,%2006%20Sep%202020%2016:47:24%20GMT	https://trafficize.app/app/themes/altum/assets/js/libraries/popper.min.js?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/js/libraries/popper.mina510.js	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:23	60003/60003	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Sep%202020%2020:04:10%20GMT	https://trafficize.app/app/themes/altum/assets/js/libraries/bootstrap.min.js?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/js/libraries/bootstrap.mina510.js	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:24	1270/1270	---M--	200	added ('OK')	application/javascript	date:Sun,%2006%20Sep%202020%2016:47:24%20GMT	https://trafficize.app/app/themes/altum/assets/js/main.js?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/js/maina510.js	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:24	3230/3230	---M--	200	added ('OK')	application/javascript	date:Sun,%2006%20Sep%202020%2016:47:24%20GMT	https://trafficize.app/app/themes/altum/assets/js/functions.js?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/js/functionsa510.js	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:24	1213/1213	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2006%20Sep%202020%2016:47:24%20GMT	https://trafficize.app/app/themes/altum/assets/images/blob.svg	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/images/blob.svg	(from https://trafficize.app/app/themes/altum/assets/css/custom.css?v=510)
07:13:25	1182554/1182554	---M--	200	added ('OK')	application/javascript	date:Sun,%2006%20Sep%202020%2016:47:24%20GMT	https://trafficize.app/app/themes/altum/assets/js/libraries/fontawesome.min.js?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/js/libraries/fontawesome.mina510.js	(from https://trafficize.app/app/mohamed_nidsaid)
07:13:25	7119/7119	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:13:25%20GMT	https://trafficize.app/app/login	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/login.html	(from https://trafficize.app/app/)
07:13:25	23133/23133	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Oct%202020%2009:07:26%20GMT	https://trafficize.app/app/uploads/logo/78a9143e697a9c65bc2b1296cd19b746.png	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/uploads/logo/78a9143e697a9c65bc2b1296cd19b746.png	(from https://trafficize.app/app/login)
07:13:25	6616/6616	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:13:25%20GMT	https://trafficize.app/app/lost-password	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/lost-password.html	(from https://trafficize.app/app/login)
07:13:26	6664/6664	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:13:26%20GMT	https://trafficize.app/app/resend-activation	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/resend-activation.html	(from https://trafficize.app/app/login)
07:13:26	10754/10754	---M--	200	added ('OK')	application/javascript	date:Sun,%2006%20Sep%202020%2016:47:24%20GMT	https://trafficize.app/app/themes/altum/assets/js/libraries/clipboard.min.js?v=510	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/themes/altum/assets/js/libraries/clipboard.mina510.js	(from https://trafficize.app/app/login)
07:13:26	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2005%20Nov%202020%2015:13:26%20GMT	https://trafficize.app/app/https:	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/https_	(from https://trafficize.app/app/login)
07:13:27	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2005%20Nov%202020%2015:13:26%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/dailydeals/Desktop/nid%20bio/www.google.com/recaptcha/api.js	(from https://trafficize.app/app/lost-password)
07:13:27	8494/8494	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Nov%202020%2015:13:27%20GMT	https://trafficize.app/app/get-captcha	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/get-captcha.png	(from https://trafficize.app/app/lost-password)
07:13:27	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2005%20Nov%202020%2015:13:27%20GMT	https://trafficize.app/app/https:	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/https_.html	(from https://trafficize.app/app/login)
07:13:28	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2005%20Nov%202020%2015:13:27%20GMT	https://trafficize.app/app/https:	C:/Users/dailydeals/Desktop/nid%20bio/trafficize.app/app/https_.html	(from https://trafficize.app/app/login)
